time,seq,rtt,delay,jitter,loss
1776173274.315011,0,,,,1
1776173274.815924,1,,,,1
1776173274.815924,2,,,,1
1776173274.815924,3,,,,1
1776173274.815924,4,,,,1
1776173274.815924,5,,,,1
1776173274.815924,6,,,,1
1776173274.815924,7,,,,1
1776173274.815924,8,,,,1
1776173274.815924,9,,,,1
1776173274.815924,10,,,,1
1776173274.815924,11,,,,1
1776173274.815924,12,,,,1
1776173274.815924,13,,,,1
1776173274.815924,14,,,,1
1776173274.815924,15,,,,1
1776173274.815924,16,,,,1
1776173274.815924,17,,,,1
1776173274.815924,18,,,,1
1776173274.815924,19,,,,1
1776173274.815924,20,,,,1
1776173274.815924,21,,,,1
1776173275.321134,22,,,,1
1776173275.321134,23,,,,1
1776173275.321134,24,,,,1
1776173275.321134,25,,,,1
1776173275.321134,26,,,,1
1776173275.321134,27,,,,1
1776173275.321134,28,,,,1
1776173275.321134,29,,,,1
1776173275.321134,30,,,,1
1776173275.321134,31,,,,1
1776173275.321134,32,,,,1
1776173275.321134,33,,,,1
1776173275.321134,34,,,,1
1776173275.321134,35,,,,1
1776173275.321134,36,,,,1
1776173275.321134,37,,,,1
1776173275.321134,38,,,,1
1776173275.321134,39,,,,1
1776173275.321134,40,,,,1
1776173275.321134,41,,,,1
1776173275.829688,42,,,,1
1776173275.829688,43,,,,1
1776173275.829688,44,,,,1
1776173275.829688,45,,,,1
1776173275.829688,46,,,,1
1776173275.829688,47,,,,1
1776173275.829688,48,,,,1
1776173275.829688,49,,,,1
1776173275.829688,50,,,,1
1776173275.829688,51,,,,1
1776173275.829688,52,,,,1
1776173275.829688,53,,,,1
1776173275.829688,54,,,,1
1776173275.829688,55,,,,1
1776173275.829688,56,,,,1
1776173275.829688,57,,,,1
1776173275.829688,58,,,,1
1776173275.829688,59,,,,1
1776173275.829688,60,,,,1
1776173275.829688,61,,,,1
1776173276.333626,62,,,,1
1776173276.333626,63,,,,1
1776173276.333626,64,,,,1
1776173276.333626,65,,,,1
1776173276.333626,66,,,,1
1776173276.333626,67,,,,1
1776173276.333626,68,,,,1
1776173276.333626,69,,,,1
1776173276.333626,70,,,,1
1776173276.333626,71,,,,1
1776173276.333626,72,,,,1
1776173276.333626,73,,,,1
1776173276.333626,74,,,,1
1776173276.333626,75,,,,1
1776173276.333626,76,,,,1
1776173276.333626,77,,,,1
1776173276.333626,78,,,,1
1776173276.333626,79,,,,1
1776173276.333626,80,,,,1
1776173276.333626,81,,,,1
1776173276.843079,82,,,,1
1776173276.843079,83,,,,1
1776173276.843079,84,,,,1
1776173276.843079,85,,,,1
1776173276.843079,86,,,,1
1776173276.843079,87,,,,1
1776173276.843079,88,,,,1
1776173276.843079,89,,,,1
1776173276.843079,90,,,,1
1776173276.843079,91,,,,1
1776173276.843079,92,,,,1
1776173276.843079,93,,,,1
1776173276.843079,94,,,,1
1776173276.843079,95,,,,1
1776173276.843079,96,,,,1
1776173276.843079,97,,,,1
1776173276.843079,98,,,,1
1776173276.843079,99,,,,1
1776173276.843079,100,,,,1
1776173276.843079,101,,,,1
1776173276.843079,102,,,,1
1776173277.348136,103,,,,1
1776173277.348136,104,,,,1
1776173277.348136,105,,,,1
1776173277.348136,106,,,,1
1776173277.348136,107,,,,1
1776173277.348136,108,,,,1
1776173277.348136,109,,,,1
1776173277.348136,110,,,,1
1776173277.348136,111,,,,1
1776173277.348136,112,,,,1
1776173277.348136,113,,,,1
1776173277.348136,114,,,,1
1776173277.348136,115,,,,1
1776173277.348136,116,,,,1
1776173277.348136,117,,,,1
1776173277.348136,118,,,,1
1776173277.348136,119,,,,1
1776173277.348136,120,,,,1
1776173277.348136,121,,,,1
1776173277.348136,122,,,,1
1776173277.855106,123,,,,1
1776173277.855106,124,,,,1
1776173277.855106,125,,,,1
1776173277.855106,126,,,,1
1776173277.855106,127,,,,1
1776173277.855106,128,,,,1
1776173277.855106,129,,,,1
1776173277.855106,130,,,,1
1776173277.855106,131,,,,1
1776173277.855106,132,,,,1
1776173277.855106,133,,,,1
1776173277.855106,134,,,,1
1776173277.855106,135,,,,1
1776173277.855106,136,,,,1
1776173277.855106,137,,,,1
1776173277.855106,138,,,,1
1776173277.855106,139,,,,1
1776173277.855106,140,,,,1
1776173277.855106,141,,,,1
1776173277.855106,142,,,,1
1776173278.368265,143,,,,1
1776173278.368265,144,,,,1
1776173278.368265,145,,,,1
1776173278.368265,146,,,,1
1776173278.368265,147,,,,1
1776173278.368265,148,,,,1
1776173278.368265,149,,,,1
1776173278.368265,150,,,,1
1776173278.368265,151,,,,1
1776173278.368265,152,,,,1
1776173278.368265,153,,,,1
1776173278.368265,154,,,,1
1776173278.368265,155,,,,1
1776173278.368265,156,,,,1
1776173278.368265,157,,,,1
1776173278.368265,158,,,,1
1776173278.368265,159,,,,1
1776173278.368265,160,,,,1
1776173278.368265,161,,,,1
1776173278.368265,162,,,,1
1776173278.545482,206,59.201,0.000,0.000,0
1776173278.594507,207,80.942,49.024,49.024,0
1776173278.872837,163,,,,1
1776173278.872837,164,,,,1
1776173278.872837,165,,,,1
1776173278.872837,166,,,,1
1776173278.872837,167,,,,1
1776173278.872837,168,,,,1
1776173278.872837,169,,,,1
1776173278.872837,170,,,,1
1776173278.872837,171,,,,1
1776173278.872837,172,,,,1
1776173278.872837,173,,,,1
1776173278.872837,174,,,,1
1776173278.872837,175,,,,1
1776173278.872837,176,,,,1
1776173278.872837,177,,,,1
1776173278.872837,178,,,,1
1776173278.872837,179,,,,1
1776173278.872837,180,,,,1
1776173278.872837,181,,,,1
1776173278.872837,182,,,,1
1776173278.887986,208,342.503,293.479,244.455,0
1776173279.122257,209,554.777,234.271,59.208,0
1776173279.247475,210,652.968,125.218,109.053,0
1776173279.380501,183,,,,1
1776173279.380501,184,,,,1
1776173279.380501,185,,,,1
1776173279.380501,186,,,,1
1776173279.380501,187,,,,1
1776173279.380501,188,,,,1
1776173279.380501,189,,,,1
1776173279.380501,190,,,,1
1776173279.380501,191,,,,1
1776173279.380501,192,,,,1
1776173279.380501,193,,,,1
1776173279.380501,194,,,,1
1776173279.380501,195,,,,1
1776173279.380501,196,,,,1
1776173279.380501,197,,,,1
1776173279.380501,198,,,,1
1776173279.380501,199,,,,1
1776173279.380501,200,,,,1
1776173279.380501,201,,,,1
1776173279.380501,202,,,,1
1776173279.560947,211,945.933,313.472,188.254,0
1776173279.752945,212,1109.056,191.999,121.473,0
1776173279.802706,213,1135.461,49.761,142.238,0
1776173279.843934,214,1142.544,41.228,8.533,0
1776173279.885630,203,,,,1
1776173279.885630,204,,,,1
1776173279.885630,205,,,,1
1776173279.885630,215,,,,1
1776173279.885630,216,,,,1
1776173279.885630,217,,,,1
1776173279.885630,218,,,,1
1776173279.885630,219,,,,1
1776173279.885630,220,,,,1
1776173280.392054,221,,,,1
1776173280.392054,222,,,,1
1776173280.392054,223,,,,1
1776173280.392054,224,,,,1
1776173280.392054,225,,,,1
1776173280.392054,226,,,,1
1776173280.392054,227,,,,1
1776173280.392054,228,,,,1
1776173280.392054,229,,,,1
1776173280.392054,230,,,,1
1776173280.392054,231,,,,1
1776173280.392054,232,,,,1
1776173280.392054,233,,,,1
1776173280.392054,234,,,,1
1776173280.392054,235,,,,1
1776173280.392054,236,,,,1
1776173280.392054,237,,,,1
1776173280.392054,238,,,,1
1776173280.392054,239,,,,1
1776173280.392054,240,,,,1
1776173280.900425,241,,,,1
1776173280.900425,242,,,,1
1776173280.900425,243,,,,1
1776173280.900425,244,,,,1
1776173280.900425,245,,,,1
1776173280.900425,246,,,,1
1776173280.900425,247,,,,1
1776173280.900425,248,,,,1
1776173280.900425,249,,,,1
1776173280.900425,250,,,,1
1776173280.900425,251,,,,1
1776173280.900425,252,,,,1
